neutral hinglish sentence,context,social_context,Possible Slangs,Slang Location,Multiple positions allowed?,Control tokens,function,output sentence
Tune kya intezam kar rakha hai?,Making arrangements,Peer / Casual,jugaad,MIDDLE,No,[ASSERT_NEUTRAL],cultural_marker,kya jugaad kar rakha hai tune
Kya tum mushkil mein ho?,Checking on someone,Friend / Tense,"Oye, scene","START, MIDDLE",Yes,[REQUEST_FRUSTRATION],idiom,"Oye, tera scene lag gayi kya?"
"Mela chalte hain, bohot achha hai.",Visiting a fair,Peer / Social,kya mast,END,No,[ASSERT_HAPPY],positive_eval,"mela me jaate hai, kya mast hai"
Mera bhai darpok hai.,Describing brother,Peer / Casual,kya fattu,END,No,[ASSERT_NEUTRAL],negative_eval,mera bhai kya fattu hai
Uska kya maamla chal raha hai?,Asking about status,Friend / Curious,chakkar,MIDDLE,No,[REQUEST_NEUTRAL],cultural_informal,uska kya chakkar chal raha hai?
Aapka khana bohot achha hai.,Praising food,Peer / Casual,bindaas,END,No,[ASSERT_HAPPY],positive_eval,aapka khana kya bindaas hai
Char chai dena.,Ordering tea,Shopkeeper / Casual,Bhai,START,No,[REQUEST_NEUTRAL],informal_addr,"Bhai, char chai dena"
Project ke liye maine pura intezam kiya hai.,Academic prep,Peer / Casual,jugaad,MIDDLE,No,[ASSERT_NEUTRAL],cultural_marker,project ke liye maine pura jugaad kar rakha hai
"Mein hoon, tumhare dost.",Offering support,Friend / Close,"na, yaar","MIDDLE, END",Yes,[ASSERT_NEUTRAL],softener,"Mein hoon na, tere yaar"
Yeh cheez achhi hai.,Liking an object,Peer / Casual,badiya,END,No,[ASSERT_HAPPY],positive_eval,yeh cheez to badiya hai
Kidhar the itne din?,Reconnecting,Peer / Social,arre bhai,START,No,[REQUEST_NEUTRAL],att_grabber,"arre bhai, kidhar the ithne din?"
Maine bohot achhi maggi banayi thi.,Cooking boast,Friend / Casual,bindaas,MIDDLE,No,[ASSERT_HAPPY],positive_eval,maine toh kya bindaas maggi banayi thi
Aaj ka plan cancel ho gaya.,Disappointment,Peer/Casual,"Scenes, Yaar","START, END",Yes,[ASSERT_SADNESS],filler,"Scenes ho gaye yaar, aaj ka plan cancel ho gaya."
Kal ka schedule thoda hectic tha,Daily routine,Peer / Tired,scene tight,END,No,[ASSERT_STRESS],intensifier,"Kal ka schedule thoda hectic tha, scene tight"
Usne call ka reply nahi diya,Waiting response,Friend / Anxious,bhai,END,No,[ASSERT_ANXIETY],filler,Usne call ka reply nahi diya bhai
Aaj ka lecture samajh mein aaya,Academics,Peer / Casual,clear tha,END,No,[ASSERT_POSITIVE],positive_eval,"Aaj ka lecture samajh mein aaya, clear tha"
Plan thoda risky lag raha hai,Decision,Peer / Serious,sambhal ke,END,No,[ASSERT_WARNING],caution_marker,"Plan thoda risky lag raha hai, sambhal ke"
Internet fir se slow ho gaya,Tech issue,Peer / Frustrated,kya yaar,START,No,[ASSERT_FRUSTRATION],filler,"Kya yaar, internet fir se slow ho gaya"
Aaj ka mood better hai,Emotional state,Peer / Casual,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Aaj ka mood better hai, sorted"
Usne kaam time pe khatam kiya,Work update,Peer / Casual,solid,END,No,[ASSERT_POSITIVE],positive_eval,"Usne kaam time pe khatam kiya, solid"
Kal ka match boring nikla,Sports talk,Peer / Casual,pakau,END,No,[ASSERT_NEGATIVE],negative_eval,Kal ka match pakau nikla
Meeting thodi late start hui,Work update,Peer / Neutral,yaar,END,No,[ASSERT_NEUTRAL],filler,Meeting thodi late start hui yaar
Aaj traffic manageable tha,Commute,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Aaj traffic manageable tha, chill"
Uska reaction thoda weird tha,Social interaction,Peer / Curious,alag hi,MIDDLE,No,[ASSERT_CONFUSION],intensifier,Uska reaction thoda alag hi weird tha
Phone ka battery fast drain ho raha hai,Device issue,Peer / Annoyed,scene off,END,No,[ASSERT_FRUSTRATION],idiom,"Phone ka battery fast drain ho raha hai, scene off"
Aaj ka kaam jaldi nipat gaya,Work,Peer / Happy,sorted,END,No,[ASSERT_HAPPY],closure_marker,"Aaj ka kaam jaldi nipat gaya, sorted"
Usne idea reject kar diya,Feedback,Peer / Neutral,seedha,END,No,[ASSERT_NEUTRAL],descriptor,"Usne idea reject kar diya, seedha"
Kal ka plan cancel ho gaya,Disappointment,Peer / Sad,yaar,END,No,[ASSERT_SADNESS],filler,Kal ka plan cancel ho gaya yaar
Presentation ka flow achha tha,Work review,Peer / Casual,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Presentation ka flow achha tha, on point"
Usne kaafi effort dala hai,Appreciation,Peer / Casual,respect,START,No,[ASSERT_POSITIVE],positive_eval,"Respect, usne kaafi effort dala hai"
Abhi decision lena mushkil hai,Decision,Peer / Serious,bhai,END,No,[ASSERT_CONFUSION],filler,Abhi decision lena mushkil hai bhai
Aaj ka khana average tha,Food review,Peer / Casual,theek thaak,END,No,[ASSERT_NEUTRAL],eval,Aaj ka khana theek thaak tha
Uska plan backfire ho gaya,Social,Peer / Casual,ulti pad gayi,END,No,[ASSERT_NEGATIVE],idiom,"Uska plan backfire ho gaya, ulti pad gayi"
Train time pe nahi aayi,Travel issue,Peer / Annoyed,scene off,END,No,[ASSERT_FRUSTRATION],idiom,"Train time pe nahi aayi, scene off"
Kal ka test manageable tha,Academics,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Kal ka test manageable tha, chill"
Usne message seen pe chhod diya,Social,Peer / Frustrated,kya scene hai,START,No,[ASSERT_FRUSTRATION],idiom,"Kya scene hai, usne message seen pe chhod diya"
Aaj thoda break lena padega,Burnout,Peer / Tired,bhai,END,No,[REQUEST_NEUTRAL],softener,Aaj thoda break lena padega bhai
App ka UI kaafi clean hai,Tech feedback,Peer / Casual,sexy,END,No,[ASSERT_POSITIVE],slang_eval,"App ka UI kaafi clean hai, sexy"
Meeting productive rahi,Work review,Peer / Casual,kaam ka,END,No,[ASSERT_POSITIVE],slang_eval,"Meeting productive rahi, kaam ka"
Usne kaafi drama kiya,Social,Peer / Casual,overacting,END,No,[ASSERT_NEGATIVE],slang_eval,"Usne kaafi drama kiya, overacting"
Schedule thoda tight hai,Planning,Peer / Serious,scene tight,END,No,[REQUEST_URGENCY],intensifier,"Schedule thoda tight hai, scene tight"
Mood thoda off lag raha hai,Emotional,Peer / Sad,yaar,END,No,[ASSERT_SADNESS],filler,Mood thoda off lag raha hai yaar
Aaj ka din productive tha,Daily life,Peer / Happy,sahi gaya,END,No,[ASSERT_POSITIVE],affirmation,"Aaj ka din productive tha, sahi gaya"
Uska logic kaam nahi aaya,Discussion,Peer / Casual,flop,END,No,[ASSERT_NEGATIVE],slang_eval,"Uska logic kaam nahi aaya, flop"
Thoda patience rakhna padega,Advice,Peer / Serious,bhai,END,No,[REQUEST_NEUTRAL],softener,Thoda patience rakhna padega bhai
Event ka experience badiya tha,Event review,Peer / Happy,jhakaas,END,No,[ASSERT_HAPPY],positive_eval,"Event ka experience badiya tha, jhakaas"
Usne expectations cross kar di,Appreciation,Peer / Excited,next level,END,No,[ASSERT_HAPPY],intensifier,"Usne expectations cross kar di, next level"
Plan thoda vague hai,Planning,Peer / Casual,unclear,END,No,[ASSERT_CONFUSION],lexical_insertion,"Plan thoda vague hai, unclear"
Kal ka call kaafi helpful tha,Work,Peer / Casual,kaam ka,END,No,[ASSERT_POSITIVE],slang_eval,"Kal ka call kaafi helpful tha, kaam ka"
Battery fir se low ho gayi,Device,Peer / Annoyed,yaar,END,No,[ASSERT_FRUSTRATION],filler,Battery fir se low ho gayi yaar
Uska answer convincing nahi tha,Discussion,Peer / Serious,weak,END,No,[ASSERT_NEGATIVE],slang_eval,"Uska answer convincing nahi tha, weak"
Aaj weather kaafi pleasant hai,Weather,Peer / Casual,mast,END,No,[ASSERT_POSITIVE],positive_eval,"Aaj weather kaafi pleasant hai, mast"
Usne directly mana kar diya,Social,Peer / Neutral,blunt,END,No,[ASSERT_NEUTRAL],descriptor,"Usne directly mana kar diya, blunt"
Thoda adjust karna padega,Compromise,Peer / Casual,scene hai,END,No,[ASSERT_NEUTRAL],idiom,"Thoda adjust karna padega, scene hai"
Aaj ka din kaafi long tha,Daily routine,Peer / Tired,watt lag gayi,END,No,[ASSERT_STRESS],idiom,"Aaj ka din kaafi long tha, watt lag gayi"
Uski timing bilkul sahi thi,Feedback,Peer / Casual,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Uski timing bilkul sahi thi, on point"
Abhi scene clear nahi hai,Confusion,Peer / Serious,bhai,END,No,[ASSERT_CONFUSION],filler,Abhi scene clear nahi hai bhai
Kal ka kaam expected se zyada tha,Work,Peer / Tired,watt lag gayi,END,No,[ASSERT_STRESS],idiom,"Kal ka kaam expected se zyada tha, watt lag gayi"
Usne abhi tak confirmation nahi diya,Waiting response,Peer / Anxious,bhai,END,No,[ASSERT_ANXIETY],filler,Usne abhi tak confirmation nahi diya bhai
Aaj ka lecture kaafi engaging tha,Academics,Peer / Casual,mast,END,No,[ASSERT_POSITIVE],positive_eval,"Aaj ka lecture kaafi engaging tha, mast"
Plan thoda last moment bana,Planning,Peer / Casual,on the fly,MIDDLE,No,[ASSERT_NEUTRAL],discourse_marker,Plan thoda on the fly bana
Internet ka scene aaj kharab hai,Tech issue,Peer / Frustrated,scene off,END,No,[ASSERT_FRUSTRATION],idiom,"Internet ka scene aaj kharab hai, scene off"
Uska mood thoda off lag raha hai,Emotional state,Peer / Concerned,yaar,END,No,[ASSERT_SADNESS],filler,Uska mood thoda off lag raha hai yaar
Meeting ka outcome kaafi clear tha,Work review,Peer / Casual,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Meeting ka outcome kaafi clear tha, sorted"
Kal ka match kaafi intense tha,Sports talk,Peer / Excited,full on,MIDDLE,No,[ASSERT_HAPPY],intensifier,Kal ka match full on intense tha
Usne reply kaafi late diya,Waiting response,Peer / Neutral,seedha,END,No,[ASSERT_NEUTRAL],descriptor,"Usne reply kaafi late diya, seedha"
Aaj traffic ne time waste kar diya,Commute,Peer / Annoyed,kya yaar,START,No,[ASSERT_FRUSTRATION],filler,"Kya yaar, aaj traffic ne time waste kar diya"
Uska explanation thoda vague tha,Discussion,Peer / Serious,unclear,END,No,[ASSERT_CONFUSION],lexical_insertion,"Uska explanation thoda vague tha, unclear"
Phone hang ho gaya achanak se,Device issue,Peer / Annoyed,scene tight,END,No,[ASSERT_FRUSTRATION],intensifier,"Phone hang ho gaya achanak se, scene tight"
Aaj ka kaam manageable laga,Work,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Aaj ka kaam manageable laga, chill"
Usne idea thoda modify kiya,Discussion,Peer / Neutral,thoda sa,MIDDLE,No,[ASSERT_NEUTRAL],intensifier,Usne idea thoda sa modify kiya
Kal ka plan kaafi fun tha,Social event,Peer / Happy,paisa vasool,END,No,[ASSERT_HAPPY],idiom,"Kal ka plan kaafi fun tha, paisa vasool"
Abhi final decision pending hai,Decision,Peer / Serious,bhai,END,No,[ASSERT_CONFUSION],filler,Abhi final decision pending hai bhai
Aaj ka khana surprisingly achha tha,Food review,Peer / Casual,badiya,END,No,[ASSERT_POSITIVE],positive_eval,"Aaj ka khana surprisingly achha tha, badiya"
Uska response thoda rude laga,Social interaction,Peer / Casual,off,MIDDLE,No,[ASSERT_NEGATIVE],slang_eval,Uska response thoda off laga
Train delay ho gayi phir se,Travel issue,Peer / Annoyed,scene off,END,No,[ASSERT_FRUSTRATION],idiom,"Train delay ho gayi phir se, scene off"
Kal ka test thoda tough tha,Academics,Peer / Serious,watt lag gayi,END,No,[ASSERT_STRESS],idiom,"Kal ka test thoda tough tha, watt lag gayi"
Usne message ka tone change kar diya,Social,Peer / Curious,alag hi,MIDDLE,No,[ASSERT_CONFUSION],intensifier,Usne message ka tone alag hi change kar diya
Aaj thoda rest lena zaroori hai,Burnout,Peer / Tired,bhai,END,No,[REQUEST_NEUTRAL],softener,Aaj thoda rest lena zaroori hai bhai
App ka performance kaafi smooth hai,Tech feedback,Peer / Casual,sexy,END,No,[ASSERT_POSITIVE],slang_eval,"App ka performance kaafi smooth hai, sexy"
Meeting thodi drag ho gayi,Work update,Peer / Tired,pakau,END,No,[ASSERT_NEGATIVE],negative_eval,"Meeting thodi drag ho gayi, pakau"
Usne kaafi excuses diye,Social,Peer / Casual,drama,END,No,[ASSERT_NEGATIVE],slang_eval,"Usne kaafi excuses diye, drama"
Schedule aaj thoda flexible hai,Planning,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Schedule aaj thoda flexible hai, chill"
Mood aaj kaafi stable hai,Emotional state,Peer / Casual,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Mood aaj kaafi stable hai, sorted"
Uska suggestion kaam aa gaya,Feedback,Peer / Casual,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Uska suggestion kaam aa gaya, on point"
Thoda patience test ho raha hai,Situation,Peer / Tired,scene tight,END,No,[ASSERT_STRESS],intensifier,"Thoda patience test ho raha hai, scene tight"
Aaj ka din average raha,Daily routine,Peer / Casual,theek thaak,END,No,[ASSERT_NEUTRAL],eval,"Aaj ka din average raha, theek thaak"
Usne kaafi smartly handle kiya,Appreciation,Peer / Casual,smooth,END,No,[ASSERT_POSITIVE],slang_eval,"Usne kaafi smartly handle kiya, smooth"
Abhi clarity thodi kam hai,Decision,Peer / Serious,bhai,END,No,[ASSERT_CONFUSION],filler,Abhi clarity thodi kam hai bhai
Kal ka discussion productive tha,Work,Peer / Casual,kaam ka,END,No,[ASSERT_POSITIVE],slang_eval,"Kal ka discussion productive tha, kaam ka"
Phone ki battery phir se drain ho gayi,Device issue,Peer / Annoyed,yaar,END,No,[ASSERT_FRUSTRATION],filler,Phone ki battery phir se drain ho gayi yaar
Uska answer thoda generic tha,Discussion,Peer / Casual,weak,END,No,[ASSERT_NEGATIVE],slang_eval,"Uska answer thoda generic tha, weak"
Aaj weather kaafi gloomy hai,Weather,Peer / Casual,off,END,No,[ASSERT_NEUTRAL],slang_eval,"Aaj weather kaafi gloomy hai, off"
Usne seedha point pe baat ki,Social,Peer / Neutral,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Usne seedha point pe baat ki, on point"
Thoda sa adjust karna padega,Compromise,Peer / Casual,scene hai,END,No,[ASSERT_NEUTRAL],idiom,"Thoda sa adjust karna padega, scene hai"
Aaj ka workload thoda heavy hai,Work,Peer / Tired,watt lag rahi hai,END,No,[ASSERT_STRESS],idiom,"Aaj ka workload thoda heavy hai, watt lag rahi hai"
Usne abhi reply nahi bheja,Waiting response,Peer / Anxious,bhai,END,No,[ASSERT_ANXIETY],filler,Usne abhi reply nahi bheja bhai
Lecture ka pace kaafi fast tha,Academics,Peer / Casual,scene tight,END,No,[ASSERT_NEUTRAL],intensifier,"Lecture ka pace kaafi fast tha, scene tight"
Kal ka plan last minute cancel ho gaya,Social plan,Peer / Sad,yaar,END,No,[ASSERT_SADNESS],filler,Kal ka plan last minute cancel ho gaya yaar
Internet aaj surprisingly stable hai,Tech issue,Peer / Casual,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Internet aaj surprisingly stable hai, sorted"
Usne feedback thoda harsh diya,Feedback,Peer / Serious,thoda off,MIDDLE,No,[ASSERT_NEGATIVE],slang_eval,Usne feedback thoda off diya
Aaj ka session kaafi productive raha,Work,Peer / Happy,kaam ka,END,No,[ASSERT_POSITIVE],slang_eval,"Aaj ka session kaafi productive raha, kaam ka"
Match ka last over intense tha,Sports talk,Peer / Excited,full on,MIDDLE,No,[ASSERT_HAPPY],intensifier,Match ka last over full on intense tha
Uska message thoda confusing laga,Social,Peer / Curious,unclear,END,No,[ASSERT_CONFUSION],lexical_insertion,"Uska message thoda confusing laga, unclear"
Phone aaj baar baar hang ho raha hai,Device issue,Peer / Annoyed,scene off,END,No,[ASSERT_FRUSTRATION],idiom,"Phone aaj baar baar hang ho raha hai, scene off"
Aaj ka kaam expected se kam tha,Work,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Aaj ka kaam expected se kam tha, chill"
Usne situation kaafi maturely handle ki,Appreciation,Peer / Casual,smooth,END,No,[ASSERT_POSITIVE],slang_eval,"Usne situation kaafi maturely handle ki, smooth"
Meeting thodi zyada lambi ho gayi,Work update,Peer / Tired,pakau,END,No,[ASSERT_NEGATIVE],negative_eval,"Meeting thodi zyada lambi ho gayi, pakau"
Kal ka dinner experience average tha,Food review,Peer / Casual,theek thaak,END,No,[ASSERT_NEUTRAL],eval,Kal ka dinner experience theek thaak tha
Usne plan bina bataye change kar diya,Social,Peer / Annoyed,kya yaar,START,No,[ASSERT_FRUSTRATION],filler,"Kya yaar, usne plan bina bataye change kar diya"
Aaj ka weather thoda unpredictable hai,Weather,Peer / Casual,scene off,END,No,[ASSERT_NEUTRAL],slang_eval,"Aaj ka weather thoda unpredictable hai, scene off"
Uska idea kaafi practical laga,Discussion,Peer / Casual,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Uska idea kaafi practical laga, on point"
Abhi situation clear nahi hai,Decision,Peer / Serious,bhai,END,No,[ASSERT_CONFUSION],filler,Abhi situation clear nahi hai bhai
Train ka delay manageable tha,Travel issue,Peer / Casual,chill,END,No,[ASSERT_NEUTRAL],positive_eval,"Train ka delay manageable tha, chill"
Usne kaafi confidence ke saath bola,Presentation,Peer / Casual,solid,END,No,[ASSERT_POSITIVE],positive_eval,"Usne kaafi confidence ke saath bola, solid"
Aaj ka din thoda dull sa laga,Daily routine,Peer / Casual,off,END,No,[ASSERT_NEUTRAL],slang_eval,"Aaj ka din thoda dull sa laga, off"
Uska response kaafi generic tha,Discussion,Peer / Casual,weak,END,No,[ASSERT_NEGATIVE],slang_eval,"Uska response kaafi generic tha, weak"
Schedule aaj kaafi packed hai,Planning,Peer / Serious,scene tight,END,No,[REQUEST_URGENCY],intensifier,"Schedule aaj kaafi packed hai, scene tight"
Mood thoda stable ho gaya hai,Emotional state,Peer / Casual,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Mood thoda stable ho gaya hai, sorted"
Usne kaafi jaldi haan bol di,Social,Peer / Curious,seedha,END,No,[ASSERT_NEUTRAL],descriptor,"Usne kaafi jaldi haan bol di, seedha"
Aaj ka kaam bina issues ke ho gaya,Work,Peer / Happy,smooth,END,No,[ASSERT_POSITIVE],slang_eval,"Aaj ka kaam bina issues ke ho gaya, smooth"
Kal ka test thoda tricky tha,Academics,Peer / Serious,watt lag gayi,END,No,[ASSERT_STRESS],idiom,"Kal ka test thoda tricky tha, watt lag gayi"
Usne call pe clearly explain kiya,Communication,Peer / Casual,on point,END,No,[ASSERT_POSITIVE],slang_eval,"Usne call pe clearly explain kiya, on point"
Aaj thoda extra effort lagana padega,Work,Peer / Serious,bhai,END,No,[REQUEST_NEUTRAL],softener,Aaj thoda extra effort lagana padega bhai
Event ka management kaafi acha tha,Event review,Peer / Casual,sorted,END,No,[ASSERT_POSITIVE],closure_marker,"Event ka management kaafi acha tha, sorted"
Usne baat ko unnecessarily stretch kiya,Social,Peer / Casual,drama,END,No,[ASSERT_NEGATIVE],slang_eval,"Usne baat ko unnecessarily stretch kiya, drama"
Phone ki battery surprisingly long chali,Device issue,Peer / Casual,sahi hai,END,No,[ASSERT_POSITIVE],affirmation,"Phone ki battery surprisingly long chali, sahi hai"
Abhi thoda wait karna padega,Situation,Peer / Serious,bhai,END,No,[REQUEST_NEUTRAL],softener,Abhi thoda wait karna padega bhai
Aaj ka kaam time pe ho jana chahiye,Work,Peer / Serious,scene tight,END,No,[REQUEST_URGENCY],intensifier,"Aaj ka kaam time pe ho jana chahiye, scene tight"
Usne situation ko light le liya,Social,Peer / Casual,chill maar,MIDDLE,No,[ASSERT_NEUTRAL],softener,Usne situation ko chill maar liya
Kal ka experience overall positive tha,Daily life,Peer / Happy,sahi gaya,END,No,[ASSERT_POSITIVE],affirmation,"Kal ka experience overall positive tha, sahi gaya"
