neutral,output,control,function,positions,multi_allowed,social_context,context,slangs
Mujhe samajh nahi aa raha.,Mujhe samajh nahi aa raha bhai,ASSERT_CONFUSION,filler,END,False,Peer / Tense,Confusion,bhai
Aaj ka presentation achha gaya.,Aaj ka presentation faadu gaya.,ASSERT_POSITIVE,positive_eval,END,False,Peer / Happy,Work,faadu
Aaj ka lecture boring tha.,"Yaar, aaj ka lecture toh pakau tha.",ASSERT_NEGATIVE,negative_eval,START|END,True,Peer / Casual,Feedback,Yaar|pakau
Yeh coffee strong hai.,Yeh coffee kaafi kadak hai.,ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Food review,kadak
Aaj ka match jeet gaye.,Aaj ka match jhakaas jeete.,ASSERT_HAPPY,positive_eval,END,False,Peer / Happy,Sports,jhakaas
Usne sab gadbad kar di.,"Kya raita failaya, usne sab gadbad kar di.",ASSERT_FRUSTRATION,idiom,START|MIDDLE,True,Peer / Tense,Blaming,kya raita failaya
Bahar bahut dhoop hai.,Bahar bhayankar dhoop hai.,ASSERT_NEUTRAL,intensifier,MIDDLE,False,Friend / Casual,Weather complaint,bhayankar
Tumne ye news suni?,"Kya scene hai, tumne ye news suni?",REQUEST_NEUTRAL,info_opener,START,False,Peer / Curious,Sharing info,kya scene hai
Kal ka scene thoda awkward tha.,Kal ka scene thoda cringe tha.,ASSERT_NEGATIVE,negative_eval,END,False,Peer / Casual,Social,cringe
Party bahut acchi thi.,"Party bahut acchi thi, jhakaas!",ASSERT_HAPPY,positive_eval,END,False,Friend / Social,Event review,jhakaas
Ye shirt tum par suit karti hai.,Ye shirt tum par ekdum suit karti hai.,ASSERT_HAPPY,intensifier,MIDDLE,False,Friend / Close,Compliment,ekdum
Mujhe ye baat samajh nahi aayi.,"Mujhe ye baat samajh nahi aayi, funda clear nahi hai.",EXPRESS_STRESS,lexical_insertion,END,False,Peer / Serious,Confusion,funda clear
Tum hamesha late aate ho.,"Kya bakwaas hai, tum hamesha late aate ho.",EXPRESS_STRESS,filler,START,False,Friend / Tense,Criticism,kya bakwaas hai
Main bas nikal hi raha hoon.,"Bas do minute, main nikal hi raha hoon.",REQUEST_URGENCY,att_grabber,START,False,Peer / Urgent,Leaving soon,bas do minute
Abhi bahut mushkil hai,"Watt lag gayi bhai, abhi scene tight hai.",ASSERT_FRUSTRATION,idiom,START|END,True,Peer / Urgent,Work stress,Watt lag gayi
Mujhe ye samajh nahi aa raha.,Iska funda mujhe bikull samajh nahi aa raha.,EXPRESS_STRESS,filler,MIDDLE,False,Friend / Serious,Confusion,Funda
Kal ka match interesting hoga.,Kal ka match full on interesting hoga,ASSERT_HAPPY,intensifier,MIDDLE,False,Peer / Excited,Sports talk,full on
Tum darpok mat bano.,"Zyada fattu mat ban, bas chill maar.",REQUEST_NEUTRAL,softener,MIDDLE|END,True,Friend / Casual,Encouragement,Fattu|Chill maar
Traffic mein stuck ho gaya.,"kya yaar, traffic mein stuck ho gaya.",ASSERT_FRUSTRATION,filler,START,False,Peer / Casual,Delayed by traffic,kya yaar
"Usne humko pakad liya, bohot daanta.","usne humko pakad liya, waat lagayi yaar",EXPRESS_STRESS,intensifier,MIDDLE|END,True,Peer / Tense,Caught by someone,waat lagayi|yaar
"Blue, woh calming hai.","blue, woh ekdam calming hai.",ASSERT_NEUTRAL,intensifier,MIDDLE,False,Friend / Relaxed,Describing a color,ekdam
"Kuch nahi, bas chinta hai.","kuch nahi, bas tension hai",EXPRESS_STRESS,lexical_insertion,MIDDLE,False,Peer / Personal,Being worried,tension
"Kuch nahi, bas news dekh raha hoon.","kuch nahi yaar, bas news dekh raha hoon.",ASSERT_NEUTRAL,softener,MIDDLE,False,Friend / Casual,Watching news,yaar
Ek cup coffee lete hain?,"chalo, ek cup coffee lete hain?",REQUEST_NEUTRAL,soft_opener,START,False,Peer / Social,Buying coffee,chalo
"Nahin, bas ghar pe hi relax karna hai.","nahin yaar, bas ghar pe hi relax karna hai.",ASSERT_NEUTRAL,softener,MIDDLE,False,Peer / Casual,Staying home,yaar
"Exam achha nahi gaya, aapki tarah padhna hoga.","bhai, bakwaas gaya, aapke jaise padhai karna padega.",EXPRESS_SADNESS,negative_eval,START|MIDDLE,True,Peer / Sad,Failing a test,bhai|bakwaas
Coffee toh chaiye?,"coffee toh chaiye, na?",REQUEST_NEUTRAL,question_tag,END,False,Friend / Casual,Offering coffee,na
Kya tumne wo naya gana suna?,kya tumne wo naya song suna?,REQUEST_NEUTRAL,lexical_insertion,MIDDLE,False,Peer / Curious,New music,song
Tumhe office jaane mein kitna waqt lagta hai?,kitna time lagta hai office jaane mein tere liye?,REQUEST_NEUTRAL,informal_addr,END,False,Peer / Inquiry,Commute time,tere liye
Mera phone wapas do.,"arre woh, mera phone wapas do",REQUEST_URGENCY,att_grabber,START,False,Peer / Urgent,Returning a phone,arre woh
Ye movie bohot achhi hai.,ye movie tho bindaas hai re,ASSERT_HAPPY,positive_eval,MIDDLE|END,True,Peer / Happy,Reviewing a film,bindaas|re
Tune kya intezam kar rakha hai?,kya jugaad kar rakha hai tune,ASSERT_NEUTRAL,cultural_marker,MIDDLE,False,Peer / Casual,Making arrangements,jugaad
Kya tum mushkil mein ho?,"Oye, tera scene lag gayi kya?",REQUEST_FRUSTRATION,idiom,START|MIDDLE,True,Friend / Tense,Checking on someone,Oye|scene
"Mela chalte hain, bohot achha hai.","mela me jaate hai, kya mast hai",ASSERT_HAPPY,positive_eval,END,False,Peer / Social,Visiting a fair,kya mast
Mera bhai darpok hai.,mera bhai kya fattu hai,ASSERT_NEUTRAL,negative_eval,END,False,Peer / Casual,Describing brother,kya fattu
Uska kya maamla chal raha hai?,uska kya chakkar chal raha hai?,REQUEST_NEUTRAL,cultural_informal,MIDDLE,False,Friend / Curious,Asking about status,chakkar
Aapka khana bohot achha hai.,aapka khana kya bindaas hai,ASSERT_HAPPY,positive_eval,END,False,Peer / Casual,Praising food,bindaas
Char chai dena.,"Bhai, char chai dena",REQUEST_NEUTRAL,informal_addr,START,False,Shopkeeper / Casual,Ordering tea,Bhai
Project ke liye maine pura intezam kiya hai.,project ke liye maine pura jugaad kar rakha hai,ASSERT_NEUTRAL,cultural_marker,MIDDLE,False,Peer / Casual,Academic prep,jugaad
"Mein hoon, tumhare dost.","Mein hoon na, tere yaar",ASSERT_NEUTRAL,softener,MIDDLE|END,True,Friend / Close,Offering support,na|yaar
Yeh cheez achhi hai.,yeh cheez to badiya hai,ASSERT_HAPPY,positive_eval,END,False,Peer / Casual,Liking an object,badiya
Kidhar the itne din?,"arre bhai, kidhar the ithne din?",REQUEST_NEUTRAL,att_grabber,START,False,Peer / Social,Reconnecting,arre bhai
Maine bohot achhi maggi banayi thi.,maine toh kya bindaas maggi banayi thi,ASSERT_HAPPY,positive_eval,MIDDLE,False,Friend / Casual,Cooking boast,bindaas
Aaj ka plan cancel ho gaya.,"Scenes ho gaye yaar, aaj ka plan cancel ho gaya.",ASSERT_SADNESS,filler,START|END,True,Peer/Casual,Disappointment,Scenes|Yaar
Kal ka schedule thoda hectic tha,"Kal ka schedule thoda hectic tha, scene tight",ASSERT_STRESS,intensifier,END,False,Peer / Tired,Daily routine,scene tight
Usne call ka reply nahi diya,Usne call ka reply nahi diya bhai,ASSERT_ANXIETY,filler,END,False,Friend / Anxious,Waiting response,bhai
Aaj ka lecture samajh mein aaya,"Aaj ka lecture samajh mein aaya, clear tha",ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Academics,clear tha
Plan thoda risky lag raha hai,"Plan thoda risky lag raha hai, sambhal ke",ASSERT_WARNING,caution_marker,END,False,Peer / Serious,Decision,sambhal ke
Internet fir se slow ho gaya,"Kya yaar, internet fir se slow ho gaya",ASSERT_FRUSTRATION,filler,START,False,Peer / Frustrated,Tech issue,kya yaar
Aaj ka mood better hai,"Aaj ka mood better hai, sorted",ASSERT_POSITIVE,closure_marker,END,False,Peer / Casual,Emotional state,sorted
Usne kaam time pe khatam kiya,"Usne kaam time pe khatam kiya, solid",ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Work update,solid
Kal ka match boring nikla,Kal ka match pakau nikla,ASSERT_NEGATIVE,negative_eval,END,False,Peer / Casual,Sports talk,pakau
Meeting thodi late start hui,Meeting thodi late start hui yaar,ASSERT_NEUTRAL,filler,END,False,Peer / Neutral,Work update,yaar
Aaj traffic manageable tha,"Aaj traffic manageable tha, chill",ASSERT_NEUTRAL,positive_eval,END,False,Peer / Casual,Commute,chill
Uska reaction thoda weird tha,Uska reaction thoda alag hi weird tha,ASSERT_CONFUSION,intensifier,MIDDLE,False,Peer / Curious,Social interaction,alag hi
Phone ka battery fast drain ho raha hai,"Phone ka battery fast drain ho raha hai, scene off",ASSERT_FRUSTRATION,idiom,END,False,Peer / Annoyed,Device issue,scene off
Aaj ka kaam jaldi nipat gaya,"Aaj ka kaam jaldi nipat gaya, sorted",ASSERT_HAPPY,closure_marker,END,False,Peer / Happy,Work,sorted
Usne idea reject kar diya,"Usne idea reject kar diya, seedha",ASSERT_NEUTRAL,descriptor,END,False,Peer / Neutral,Feedback,seedha
Kal ka plan cancel ho gaya,Kal ka plan cancel ho gaya yaar,ASSERT_SADNESS,filler,END,False,Peer / Sad,Disappointment,yaar
Presentation ka flow achha tha,"Presentation ka flow achha tha, on point",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Work review,on point
Usne kaafi effort dala hai,"Respect, usne kaafi effort dala hai",ASSERT_POSITIVE,positive_eval,START,False,Peer / Casual,Appreciation,respect
Abhi decision lena mushkil hai,Abhi decision lena mushkil hai bhai,ASSERT_CONFUSION,filler,END,False,Peer / Serious,Decision,bhai
Aaj ka khana average tha,Aaj ka khana theek thaak tha,ASSERT_NEUTRAL,eval,END,False,Peer / Casual,Food review,theek thaak
Uska plan backfire ho gaya,"Uska plan backfire ho gaya, ulti pad gayi",ASSERT_NEGATIVE,idiom,END,False,Peer / Casual,Social,ulti pad gayi
Train time pe nahi aayi,"Train time pe nahi aayi, scene off",ASSERT_FRUSTRATION,idiom,END,False,Peer / Annoyed,Travel issue,scene off
Kal ka test manageable tha,"Kal ka test manageable tha, chill",ASSERT_NEUTRAL,positive_eval,END,False,Peer / Casual,Academics,chill
Usne message seen pe chhod diya,"Kya scene hai, usne message seen pe chhod diya",ASSERT_FRUSTRATION,idiom,START,False,Peer / Frustrated,Social,kya scene hai
Aaj thoda break lena padega,Aaj thoda break lena padega bhai,REQUEST_NEUTRAL,softener,END,False,Peer / Tired,Burnout,bhai
App ka UI kaafi clean hai,"App ka UI kaafi clean hai, sexy",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Tech feedback,sexy
Meeting productive rahi,"Meeting productive rahi, kaam ka",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Work review,kaam ka
Usne kaafi drama kiya,"Usne kaafi drama kiya, overacting",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Casual,Social,overacting
Schedule thoda tight hai,"Schedule thoda tight hai, scene tight",REQUEST_URGENCY,intensifier,END,False,Peer / Serious,Planning,scene tight
Mood thoda off lag raha hai,Mood thoda off lag raha hai yaar,ASSERT_SADNESS,filler,END,False,Peer / Sad,Emotional,yaar
Aaj ka din productive tha,"Aaj ka din productive tha, sahi gaya",ASSERT_POSITIVE,affirmation,END,False,Peer / Happy,Daily life,sahi gaya
Uska logic kaam nahi aaya,"Uska logic kaam nahi aaya, flop",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Casual,Discussion,flop
Thoda patience rakhna padega,Thoda patience rakhna padega bhai,REQUEST_NEUTRAL,softener,END,False,Peer / Serious,Advice,bhai
Event ka experience badiya tha,"Event ka experience badiya tha, jhakaas",ASSERT_HAPPY,positive_eval,END,False,Peer / Happy,Event review,jhakaas
Usne expectations cross kar di,"Usne expectations cross kar di, next level",ASSERT_HAPPY,intensifier,END,False,Peer / Excited,Appreciation,next level
Plan thoda vague hai,"Plan thoda vague hai, unclear",ASSERT_CONFUSION,lexical_insertion,END,False,Peer / Casual,Planning,unclear
Kal ka call kaafi helpful tha,"Kal ka call kaafi helpful tha, kaam ka",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Work,kaam ka
Battery fir se low ho gayi,Battery fir se low ho gayi yaar,ASSERT_FRUSTRATION,filler,END,False,Peer / Annoyed,Device,yaar
Uska answer convincing nahi tha,"Uska answer convincing nahi tha, weak",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Serious,Discussion,weak
Aaj weather kaafi pleasant hai,"Aaj weather kaafi pleasant hai, mast",ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Weather,mast
Usne directly mana kar diya,"Usne directly mana kar diya, blunt",ASSERT_NEUTRAL,descriptor,END,False,Peer / Neutral,Social,blunt
Thoda adjust karna padega,"Thoda adjust karna padega, scene hai",ASSERT_NEUTRAL,idiom,END,False,Peer / Casual,Compromise,scene hai
Aaj ka din kaafi long tha,"Aaj ka din kaafi long tha, watt lag gayi",ASSERT_STRESS,idiom,END,False,Peer / Tired,Daily routine,watt lag gayi
Uski timing bilkul sahi thi,"Uski timing bilkul sahi thi, on point",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Feedback,on point
Abhi scene clear nahi hai,Abhi scene clear nahi hai bhai,ASSERT_CONFUSION,filler,END,False,Peer / Serious,Confusion,bhai
Kal ka kaam expected se zyada tha,"Kal ka kaam expected se zyada tha, watt lag gayi",ASSERT_STRESS,idiom,END,False,Peer / Tired,Work,watt lag gayi
Usne abhi tak confirmation nahi diya,Usne abhi tak confirmation nahi diya bhai,ASSERT_ANXIETY,filler,END,False,Peer / Anxious,Waiting response,bhai
Aaj ka lecture kaafi engaging tha,"Aaj ka lecture kaafi engaging tha, mast",ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Academics,mast
Plan thoda last moment bana,Plan thoda on the fly bana,ASSERT_NEUTRAL,discourse_marker,MIDDLE,False,Peer / Casual,Planning,on the fly
Internet ka scene aaj kharab hai,"Internet ka scene aaj kharab hai, scene off",ASSERT_FRUSTRATION,idiom,END,False,Peer / Frustrated,Tech issue,scene off
Uska mood thoda off lag raha hai,Uska mood thoda off lag raha hai yaar,ASSERT_SADNESS,filler,END,False,Peer / Concerned,Emotional state,yaar
Meeting ka outcome kaafi clear tha,"Meeting ka outcome kaafi clear tha, sorted",ASSERT_POSITIVE,closure_marker,END,False,Peer / Casual,Work review,sorted
Kal ka match kaafi intense tha,Kal ka match full on intense tha,ASSERT_HAPPY,intensifier,MIDDLE,False,Peer / Excited,Sports talk,full on
Usne reply kaafi late diya,"Usne reply kaafi late diya, seedha",ASSERT_NEUTRAL,descriptor,END,False,Peer / Neutral,Waiting response,seedha
Aaj traffic ne time waste kar diya,"Kya yaar, aaj traffic ne time waste kar diya",ASSERT_FRUSTRATION,filler,START,False,Peer / Annoyed,Commute,kya yaar
Uska explanation thoda vague tha,"Uska explanation thoda vague tha, unclear",ASSERT_CONFUSION,lexical_insertion,END,False,Peer / Serious,Discussion,unclear
Phone hang ho gaya achanak se,"Phone hang ho gaya achanak se, scene tight",ASSERT_FRUSTRATION,intensifier,END,False,Peer / Annoyed,Device issue,scene tight
Aaj ka kaam manageable laga,"Aaj ka kaam manageable laga, chill",ASSERT_NEUTRAL,positive_eval,END,False,Peer / Casual,Work,chill
Usne idea thoda modify kiya,Usne idea thoda sa modify kiya,ASSERT_NEUTRAL,intensifier,MIDDLE,False,Peer / Neutral,Discussion,thoda sa
Kal ka plan kaafi fun tha,"Kal ka plan kaafi fun tha, paisa vasool",ASSERT_HAPPY,idiom,END,False,Peer / Happy,Social event,paisa vasool
Abhi final decision pending hai,Abhi final decision pending hai bhai,ASSERT_CONFUSION,filler,END,False,Peer / Serious,Decision,bhai
Aaj ka khana surprisingly achha tha,"Aaj ka khana surprisingly achha tha, badiya",ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Food review,badiya
Uska response thoda rude laga,Uska response thoda off laga,ASSERT_NEGATIVE,slang_eval,MIDDLE,False,Peer / Casual,Social interaction,off
Train delay ho gayi phir se,"Train delay ho gayi phir se, scene off",ASSERT_FRUSTRATION,idiom,END,False,Peer / Annoyed,Travel issue,scene off
Kal ka test thoda tough tha,"Kal ka test thoda tough tha, watt lag gayi",ASSERT_STRESS,idiom,END,False,Peer / Serious,Academics,watt lag gayi
Usne message ka tone change kar diya,Usne message ka tone alag hi change kar diya,ASSERT_CONFUSION,intensifier,MIDDLE,False,Peer / Curious,Social,alag hi
Aaj thoda rest lena zaroori hai,Aaj thoda rest lena zaroori hai bhai,REQUEST_NEUTRAL,softener,END,False,Peer / Tired,Burnout,bhai
App ka performance kaafi smooth hai,"App ka performance kaafi smooth hai, sexy",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Tech feedback,sexy
Meeting thodi drag ho gayi,"Meeting thodi drag ho gayi, pakau",ASSERT_NEGATIVE,negative_eval,END,False,Peer / Tired,Work update,pakau
Usne kaafi excuses diye,"Usne kaafi excuses diye, drama",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Casual,Social,drama
Schedule aaj thoda flexible hai,"Schedule aaj thoda flexible hai, chill",ASSERT_NEUTRAL,positive_eval,END,False,Peer / Casual,Planning,chill
Mood aaj kaafi stable hai,"Mood aaj kaafi stable hai, sorted",ASSERT_POSITIVE,closure_marker,END,False,Peer / Casual,Emotional state,sorted
Uska suggestion kaam aa gaya,"Uska suggestion kaam aa gaya, on point",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Feedback,on point
Thoda patience test ho raha hai,"Thoda patience test ho raha hai, scene tight",ASSERT_STRESS,intensifier,END,False,Peer / Tired,Situation,scene tight
Aaj ka din average raha,"Aaj ka din average raha, theek thaak",ASSERT_NEUTRAL,eval,END,False,Peer / Casual,Daily routine,theek thaak
Usne kaafi smartly handle kiya,"Usne kaafi smartly handle kiya, smooth",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Appreciation,smooth
Abhi clarity thodi kam hai,Abhi clarity thodi kam hai bhai,ASSERT_CONFUSION,filler,END,False,Peer / Serious,Decision,bhai
Kal ka discussion productive tha,"Kal ka discussion productive tha, kaam ka",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Work,kaam ka
Phone ki battery phir se drain ho gayi,Phone ki battery phir se drain ho gayi yaar,ASSERT_FRUSTRATION,filler,END,False,Peer / Annoyed,Device issue,yaar
Uska answer thoda generic tha,"Uska answer thoda generic tha, weak",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Casual,Discussion,weak
Aaj weather kaafi gloomy hai,"Aaj weather kaafi gloomy hai, off",ASSERT_NEUTRAL,slang_eval,END,False,Peer / Casual,Weather,off
Usne seedha point pe baat ki,"Usne seedha point pe baat ki, on point",ASSERT_POSITIVE,slang_eval,END,False,Peer / Neutral,Social,on point
Thoda sa adjust karna padega,"Thoda sa adjust karna padega, scene hai",ASSERT_NEUTRAL,idiom,END,False,Peer / Casual,Compromise,scene hai
Aaj ka workload thoda heavy hai,"Aaj ka workload thoda heavy hai, watt lag rahi hai",ASSERT_STRESS,idiom,END,False,Peer / Tired,Work,watt lag rahi hai
Usne abhi reply nahi bheja,Usne abhi reply nahi bheja bhai,ASSERT_ANXIETY,filler,END,False,Peer / Anxious,Waiting response,bhai
Lecture ka pace kaafi fast tha,"Lecture ka pace kaafi fast tha, scene tight",ASSERT_NEUTRAL,intensifier,END,False,Peer / Casual,Academics,scene tight
Kal ka plan last minute cancel ho gaya,Kal ka plan last minute cancel ho gaya yaar,ASSERT_SADNESS,filler,END,False,Peer / Sad,Social plan,yaar
Internet aaj surprisingly stable hai,"Internet aaj surprisingly stable hai, sorted",ASSERT_POSITIVE,closure_marker,END,False,Peer / Casual,Tech issue,sorted
Usne feedback thoda harsh diya,Usne feedback thoda off diya,ASSERT_NEGATIVE,slang_eval,MIDDLE,False,Peer / Serious,Feedback,thoda off
Aaj ka session kaafi productive raha,"Aaj ka session kaafi productive raha, kaam ka",ASSERT_POSITIVE,slang_eval,END,False,Peer / Happy,Work,kaam ka
Match ka last over intense tha,Match ka last over full on intense tha,ASSERT_HAPPY,intensifier,MIDDLE,False,Peer / Excited,Sports talk,full on
Uska message thoda confusing laga,"Uska message thoda confusing laga, unclear",ASSERT_CONFUSION,lexical_insertion,END,False,Peer / Curious,Social,unclear
Phone aaj baar baar hang ho raha hai,"Phone aaj baar baar hang ho raha hai, scene off",ASSERT_FRUSTRATION,idiom,END,False,Peer / Annoyed,Device issue,scene off
Aaj ka kaam expected se kam tha,"Aaj ka kaam expected se kam tha, chill",ASSERT_NEUTRAL,positive_eval,END,False,Peer / Casual,Work,chill
Usne situation kaafi maturely handle ki,"Usne situation kaafi maturely handle ki, smooth",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Appreciation,smooth
Meeting thodi zyada lambi ho gayi,"Meeting thodi zyada lambi ho gayi, pakau",ASSERT_NEGATIVE,negative_eval,END,False,Peer / Tired,Work update,pakau
Kal ka dinner experience average tha,Kal ka dinner experience theek thaak tha,ASSERT_NEUTRAL,eval,END,False,Peer / Casual,Food review,theek thaak
Usne plan bina bataye change kar diya,"Kya yaar, usne plan bina bataye change kar diya",ASSERT_FRUSTRATION,filler,START,False,Peer / Annoyed,Social,kya yaar
Aaj ka weather thoda unpredictable hai,"Aaj ka weather thoda unpredictable hai, scene off",ASSERT_NEUTRAL,slang_eval,END,False,Peer / Casual,Weather,scene off
Uska idea kaafi practical laga,"Uska idea kaafi practical laga, on point",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Discussion,on point
Abhi situation clear nahi hai,Abhi situation clear nahi hai bhai,ASSERT_CONFUSION,filler,END,False,Peer / Serious,Decision,bhai
Train ka delay manageable tha,"Train ka delay manageable tha, chill",ASSERT_NEUTRAL,positive_eval,END,False,Peer / Casual,Travel issue,chill
Usne kaafi confidence ke saath bola,"Usne kaafi confidence ke saath bola, solid",ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Presentation,solid
Aaj ka din thoda dull sa laga,"Aaj ka din thoda dull sa laga, off",ASSERT_NEUTRAL,slang_eval,END,False,Peer / Casual,Daily routine,off
Uska response kaafi generic tha,"Uska response kaafi generic tha, weak",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Casual,Discussion,weak
Schedule aaj kaafi packed hai,"Schedule aaj kaafi packed hai, scene tight",REQUEST_URGENCY,intensifier,END,False,Peer / Serious,Planning,scene tight
Mood thoda stable ho gaya hai,"Mood thoda stable ho gaya hai, sorted",ASSERT_POSITIVE,closure_marker,END,False,Peer / Casual,Emotional state,sorted
Usne kaafi jaldi haan bol di,"Usne kaafi jaldi haan bol di, seedha",ASSERT_NEUTRAL,descriptor,END,False,Peer / Curious,Social,seedha
Aaj ka kaam bina issues ke ho gaya,"Aaj ka kaam bina issues ke ho gaya, smooth",ASSERT_POSITIVE,slang_eval,END,False,Peer / Happy,Work,smooth
Kal ka test thoda tricky tha,"Kal ka test thoda tricky tha, watt lag gayi",ASSERT_STRESS,idiom,END,False,Peer / Serious,Academics,watt lag gayi
Usne call pe clearly explain kiya,"Usne call pe clearly explain kiya, on point",ASSERT_POSITIVE,slang_eval,END,False,Peer / Casual,Communication,on point
Aaj thoda extra effort lagana padega,Aaj thoda extra effort lagana padega bhai,REQUEST_NEUTRAL,softener,END,False,Peer / Serious,Work,bhai
Event ka management kaafi acha tha,"Event ka management kaafi acha tha, sorted",ASSERT_POSITIVE,closure_marker,END,False,Peer / Casual,Event review,sorted
Usne baat ko unnecessarily stretch kiya,"Usne baat ko unnecessarily stretch kiya, drama",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Casual,Social,drama
Phone ki battery surprisingly long chali,"Phone ki battery surprisingly long chali, sahi hai",ASSERT_POSITIVE,affirmation,END,False,Peer / Casual,Device issue,sahi hai
Abhi thoda wait karna padega,Abhi thoda wait karna padega bhai,REQUEST_NEUTRAL,softener,END,False,Peer / Serious,Situation,bhai
Aaj ka kaam time pe ho jana chahiye,"Aaj ka kaam time pe ho jana chahiye, scene tight",REQUEST_URGENCY,intensifier,END,False,Peer / Serious,Work,scene tight
Usne situation ko light le liya,Usne situation ko chill maar liya,ASSERT_NEUTRAL,softener,MIDDLE,False,Peer / Casual,Social,chill maar
Kal ka experience overall positive tha,"Kal ka experience overall positive tha, sahi gaya",ASSERT_POSITIVE,affirmation,END,False,Peer / Happy,Daily life,sahi gaya
Uska explanation zyada convincing nahi tha,"Uska explanation zyada convincing nahi tha, off",ASSERT_NEGATIVE,slang_eval,END,False,Peer / Serious,Discussion,off
Aaj ka traffic expected se kam tha,"Aaj ka traffic expected se kam tha, chill",ASSERT_NEUTRAL,positive_eval,END,False,Peer / Casual,Commute,chill
Usne kaam ka pressure handle kar liya,"Usne kaam ka pressure handle kar liya, solid",ASSERT_POSITIVE,positive_eval,END,False,Peer / Casual,Appreciation,solid
Thoda sa compromise karna padega,"Thoda sa compromise karna padega, scene hai",ASSERT_NEUTRAL,idiom,END,False,Peer / Casual,Compromise,scene hai
Aaj ka task thoda confusing nikla,Aaj ka task thoda confusing nikla bhai,ASSERT_CONFUSION,filler,END,False,Peer / Serious,Work,bhai
