neutral,output,control,function,positions,multi_allowed,social_context,context,slangs,source
Kripya shanti banaye rakhein,"Kripya shanti banaye rakhein, Scene kya hai?",ASSERT_NEUTRAL,,,False,,,Scene kya hai,groq_aug_v3_variant
Local train mein dhakke lag rahe hain.,Local train mein Dhappa dhakke lag rahe hain.,ASSERT_FRUSTRATION,,,False,,,Dhappa,groq_aug_v3_variant
Mera laptop charge nahi ho raha.,"Mera laptop charge nahi ho raha, dimaag kharab.",ASSERT_STRESS,,,False,,,dimaag kharab,groq_aug_v3_variant
Mausam aaj bahut achha hai,"Mausam aaj bahut achha hai, YOLO",ASSERT_POSITIVE,,,False,,,YOLO,groq_aug_v3_variant
Main kal raat bhar code likhta raha.,"Main kal raat bhar code likhta raha, Jaan nikal gayi.",ASSERT_STRESS,,,False,,,Jaan nikal gayi,groq_aug_v3_variant
Pizza bahut tasty tha,"Pizza bahut tasty tha, Velle!",ASSERT_HAPPY,,,False,,,Velle,groq_aug_v3_variant
"Maine tumhare liye surprise party arrange ki hai, please jaldi confirm karo.","Maine tumhare liye surprise party arrange ki hai, please jaldi confirm karo jugaad.",REQUEST_URGENCY,,,False,,surprise party,jugaad,groq_aug_v3_novel
"Mera family dinner abhi tak start nahi hua, sab kaam se bhara hai.","Oye, mera family dinner abhi tak start nahi hua, sab kaam se bhara hai.",REQUEST_FRUSTRATION,,,False,,family dinner,Oye,groq_aug_v3_novel
Class cancel ho gayi,"Bro, class cancel ho gayi",ASSERT_POSITIVE,,,False,,,Bro,groq_aug_v3_variant
Mujhe samajh nahi aa raha,Mujhe dibba gol samajh nahi aa raha,ASSERT_NEGATIVE,,,False,,,dibba gol,groq_aug_v3_variant
Uska style kaafi alag hai.,Uska style kaafi vella alag hai.,ASSERT_NEUTRAL,,,False,,,vella,groq_aug_v3_variant
Main aaj bahut thak gaya hu.,"Main aaj bahut thak gaya hu, scene tight.",ASSERT_STRESS,,,False,,,Scene tight,groq_aug_v3_variant
Movie ka climax bahut emotional tha.,Movie ka climax bahut senti tha.,ASSERT_SADNESS,,,False,,,senti,groq_aug_v3_variant
Kripya shanti banaye rakhein,"Kripya, chill maar, shanti banaye rakhein",REQUEST_NEUTRAL,,,False,,,chill maar,groq_aug_v3_variant
"Mera startup pitch bahut impressive lag raha hai, sabko convince karenge","Mera startup pitch bahut kadak impressive lag raha hai, sabko convince karenge",ASSERT_EXCITED,,,False,,startup pitch,kadak,groq_aug_v3_novel
Main tumhari help kar dunga,"Main tumhari help kar dunga, bilkul paisa vasool.",ASSERT_POSITIVE,,,False,,,Paisa vasool,groq_aug_v3_variant
"Mujhko chai break ka intezaar tha, ab mil raha hai!","Mujhko chai break ka intezaar tha, abe ab mil raha hai!",ASSERT_EXCITED,,,False,,chai break,abe,groq_aug_v3_novel
Pizza bahut tasty tha,Pizza bahut Aag tasty tha,ASSERT_POSITIVE,,,False,,,Aag,groq_aug_v3_variant
Mera laptop charge nahi ho raha.,"Mera laptop charge nahi ho raha, dimag kharab.",ASSERT_STRESS,,,False,,,dimag kharab,groq_aug_v3_variant
Uska style kaafi alag hai.,"Uska style kaafi alag hai, vella.",ASSERT_NEUTRAL,,,False,,,vella,groq_aug_v3_variant
Phone ki battery phir se drain ho gayi,"Phone ki battery phir se drain ho gayi, boss",ASSERT_FRUSTRATION,,,False,,,boss,groq_aug_v3_variant
"Mujhe jaldi se hostel room ka lock fix karna hai, please.","Mujhe arre woh jaldi se hostel room ka lock fix karna hai, please.",REQUEST_URGENCY,,,False,,hostel room,arre woh,groq_aug_v3_novel
"Yaar, meri bike achanak se kharab ho gayi, can't believe!","Yaar, meri bike achanak se Phut gaya kharab ho gayi, can't believe!",ASSERT_SURPRISE,,,False,,bike breakdown,Phut gaya,groq_aug_v3_novel
Yeh brand kaafi viral ho raha hai.,"Yeh brand kaafi viral ho raha hai, savage!",ASSERT_POSITIVE,,,False,,,Savage,groq_aug_v3_variant
Yeh gaana bahut achha hai,Yeh gaana ek number bahut achha hai,ASSERT_EXCITED,,,False,,,ek number,groq_aug_v3_variant
Bhai party de raha hai aaj.,"Bhai aaj party de raha hai, Jhakaas",ASSERT_HAPPY,,,False,,,Jhakaas,groq_aug_v3_variant
Yeh idea kaam nahi karega.,Yeh muft-khor idea kaam nahi karega.,ASSERT_NEGATIVE,,,False,,,Muft-khor,groq_aug_v3_variant
Naya phone bahut mehenga hai.,Naya phone abe bahut mehenga hai.,ASSERT_NEUTRAL,,,False,,,abe,groq_aug_v3_variant
Traffic jam bahut lamba tha,"Traffic jam bahut lamba tha, kat gaya.",ASSERT_SADNESS,,,False,,,kat gaya,groq_aug_v3_variant
Meeting kal tak postpone ho gayi,"Chalo, meeting kal tak postpone ho gayi",REQUEST_NEUTRAL,,,False,,,Chalo,groq_aug_v3_variant
Interview bahut aasaani se nikal gaya.,Interview bhadiya aasaani se nikal gaya.,ASSERT_POSITIVE,,,False,,,bhadiya,groq_aug_v3_variant
